CODE,Аймаг,Aimag,Сум,Soum,ургац,Crop,Year1
42237,Сүхбаатар,Sukhbaatar,Эрдэнэцагаан,Erdenetsagaan,Хужир шүү,Mineral fodder,4454
42301,Хэнтий,Khentii,Хэрлэн,Kherlen,Тэжээлийн ургамал,Fodder crops,1500
42301,Хэнтий,Khentii,Хэрлэн,Kherlen,"Бэлтгэсэн өвс, хадлан",Hay harvest,11875.7
42301,Хэнтий,Khentii,Хэрлэн,Kherlen,Гар тэжээл,Handmade fodder,533.2
42301,Хэнтий,Khentii,Хэрлэн,Kherlen,Хужир шүү,Mineral fodder,462
42304,Хэнтий,Khentii,Батноров,Batnorov,"Бэлтгэсэн өвс, хадлан",Hay harvest,6750.6
42304,Хэнтий,Khentii,Батноров,Batnorov,Гар тэжээл,Handmade fodder,9.8
42304,Хэнтий,Khentii,Батноров,Batnorov,Хужир шүү,Mineral fodder,902.5
42307,Хэнтий,Khentii,Батширээт,Batshireet,Тэжээлийн ургамал,Fodder crops,110
42307,Хэнтий,Khentii,Батширээт,Batshireet,"Бэлтгэсэн өвс, хадлан",Hay harvest,10643.4
42310,Хэнтий,Khentii,Баян-Адарга,Bayan-Adarga,"Бэлтгэсэн өвс, хадлан",Hay harvest,10975.1
42310,Хэнтий,Khentii,Баян-Адарга,Bayan-Adarga,Гар тэжээл,Handmade fodder,9
42310,Хэнтий,Khentii,Баян-Адарга,Bayan-Adarga,Хужир шүү,Mineral fodder,82
42313,Хэнтий,Khentii,Баянмөнх,Bayanmunkh,"Бэлтгэсэн өвс, хадлан",Hay harvest,260.4
42313,Хэнтий,Khentii,Баянмөнх,Bayanmunkh,Гар тэжээл,Handmade fodder,1190
42313,Хэнтий,Khentii,Баянмөнх,Bayanmunkh,Хужир шүү,Mineral fodder,560
42316,Хэнтий,Khentii,Баян-Овоо,Bayan-Ovoo,"Бэлтгэсэн өвс, хадлан",Hay harvest,1985
42316,Хэнтий,Khentii,Баян-Овоо,Bayan-Ovoo,Гар тэжээл,Handmade fodder,179
42316,Хэнтий,Khentii,Баян-Овоо,Bayan-Ovoo,Хужир шүү,Mineral fodder,453
42319,Хэнтий,Khentii,Баянхутаг,Bayankhutag,"Бэлтгэсэн өвс, хадлан",Hay harvest,2115
